Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Saint Martin,3973,56,1399.0,2518.0,100311,1414,54303.0,1371046.0,39607
San Marino,6217,94,5772.0,351.0,182676,2762,93080.0,2734993.0,34033
Sao Tome and Principe,3733,56,3675.0,2.0,16594,249,14934.0,66383.0,224967
Saudi Arabia,549955,8845,539082.0,2028.0,15453,249,31741301.0,891915.0,35587827
Senegal,74031,1886,72107.0,38.0,4261,109,881978.0,50767.0,17373005
Serbia,1265228,11955,1213325.0,39948.0,145645,1376,6895637.0,793783.0,8687055
Seychelles,23537,127,22912.0,498.0,237227,1280,,,99217
Sierra Leone,6402,121,,,780,15,160729.0,19581.0,8208424
Singapore,269873,763,260754.0,8356.0,45617,129,21098774.0,3566348.0,5916073
Sint Maarten,4608,75,4508.0,25.0,105758,1721,62056.0,1424250.0,43571
Slovakia,739544,15004,606523.0,118017.0,135363,2746,4757235.0,870743.0,5463422
Slovenia,430839,5317,396791.0,28731.0,207199,2557,1965493.0,945246.0,2079346
Somalia,23051,1331,12325.0,9395.0,1395,81,262138.0,15863.0,16525276
South Africa,3038075,89975,2861372.0,86728.0,50319,1490,19785993.0,327710.0,60376468
South Sudan,12823,133,12463.0,227.0,1127,12,267531.0,23507.0,11381141
Spain,5202958,88159,4927391.0,187408.0,111220,1885,66213858.0,1415411.0,46780663
Sri Lanka,568423,14484,542688.0,11251.0,26387,672,5695096.0,264377.0,21541549
St. Vincent Grenadines,5623,76,5096.0,451.0,50456,682,91320.0,819425.0,111444
Sudan,44170,3200,35786.0,5184.0,975,71,238579.0,5266.0,45309430
Suriname,51052,1174,29577.0,20301.0,85926,1976,161828.0,272374.0,594140
Sweden,1212145,15136,1163255.0,33754.0,118963,1485,13708481.0,1345388.0,10189240
Switzerland,1063466,11628,876261.0,175577.0,121608,1330,12756006.0,1458655.0,8745045
Syria,48709,2782,29850.0,16077.0,2690,154,113162.0,6250.0,18106919
Taiwan,16683,848,15655.0,180.0,699,36,8571364.0,358959.0,23878385
Tajikistan,17095,124,16966.0,5.0,1737,13,,,9843204
Tanzania,26270,730,,,423,12,,,62159356
Thailand,2148766,20995,2061374.0,66397.0,30675,300,14913135.0,212892.0,70050291
Timor-Leste,19828,122,19702.0,4.0,14641,90,211166.0,155925.0,1354277
Togo,26315,243,25928.0,144.0,3076,28,585955.0,68489.0,8555449
Trinidad and Tobago,75935,2281,60947.0,12707.0,54009,1622,458869.0,326373.0,1405964
Tunisia,718498,25403,691797.0,1298.0,59899,2118,3201422.0,266891.0,11995247
Turkey,8921150,78017,8462323.0,380810.0,104176,911,109804024.0,1282230.0,85635216
Turks and Caicos,3107,25,3055.0,27.0,78728,633,94789.0,2401850.0,39465
UAE,742376,2149,737400.0,2827.0,73787,214,102805056.0,10218126.0,10061048
Uganda,127708,3258,97689.0,26761.0,2672,68,1994268.0,41722.0,47799245
UK,10515239,145646,9259179.0,1110414.0,153742,2129,369333562.0,5399964.0,68395562
Ukraine,3510610,88986,3082619.0,339005.0,80968,2052,16119721.0,371781.0,43358094
Uruguay,401103,6136,392880.0,2087.0,114898,1758,4159079.0,1191394.0,3490934
USA,50149325,810254,39672735.0,9666336.0,150248,2428,764769414.0,2291266.0,333775983
Uzbekistan,194703,1424,191277.0,2002.0,5699,42,1377915.0,40335.0,34161708
Venezuela,435461,5202,422849.0,7410.0,15376,184,3359014.0,118606.0,28320759
Vietnam,1323683,26483,1010407.0,286793.0,13426,269,69947142.0,709478.0,98589635
Yemen,10034,1955,6917.0,1162.0,326,64,265253.0,8622.0,30762982
Zambia,210374,3668,206489.0,217.0,11004,192,2752397.0,143970.0,19117848
Zimbabwe,141601,4713,128966.0,7922.0,9333,311,1631841.0,107557.0,15171816
